Girardin,Franz,franzgirardin@gmail.com,4389234776,ProxyPaige,Pawgologist,Acheteur
Girardin,Franz,franzgirardin@gmail.com,4389234776,P,P,Acheteur
Pololo,Essai,patates@gmail.com,4389234776,patates12354678,Patates,Acheteur
PharmaC,Joe,JoeC@yahoo.ca,8787878787,5145145140,DummyEntry,Revendeur
March,Paul,acheteur1@gmail.com,4389234776,patates12354678,Patates1,Acheteur
May,Cédric,acheteur2@gmail.com,4389748372,patates12354678,Patates2,Acheteur
Fire,Mario,acheteur3@gmail.com,4385555555,patates12354678,Patates3,Acheteur
Walter,Jack,acheteur4@gmail.com,4381234321,patates12354678,Patates4,Acheteur
Rick,Pierre,acheteur5@gmail.com,4389234778,patates12354678,Patates5,Acheteur
Eddy,Len,acheteur6@gmail.com,4389234779,patates12354678,Patates6,Acheteur

March,Paul,acheteur1@gmail.com,4389234776,patates12354678,Patates1,Acheteur
May,Cédric,acheteur2@gmail.com,4389748372,patates12354678,Patates2,Acheteur
Fire,Mario,acheteur3@gmail.com,4385555555,patates12354678,Patates3,Acheteur
Walter,Jack,acheteur4@gmail.com,4381234321,patates12354678,Patates4,Acheteur
Rick,Pierre,acheteur5@gmail.com,4389234778,patates12354678,Patates5,Acheteur
Eddy,Len,acheteur6@gmail.com,4389234779,patates12354678,Patates6,Acheteur
Nice,Sarah,acheteur7@gmail.com,4389237776,patates12354678,Patates7,Acheteur
Patrick,Julien,acheteur8@gmail.com,4384454776,patates12354678,Patates8,Acheteur
Random1,User1,random1@gmail.com,4381111111,patates12354678,Random1,Acheteur
Random2,User2,random2@gmail.com,4382222222,patates12354678,Random2,Acheteur
PharmaC12,Joe,Joe@yahoo.ca,8787878787,5145145140,DummyEntry,Revendeur
PharmaC13,Jae,Jae@yahoo.ca,8787878787,5149876543,DummyEntry,Revendeur
PharmaC14,Boule,Boule@yahoo.ca,8787878787,5148901234,DummyEntry,Revendeur
PharmaC15,Rich,Rich@yahoo.ca,8787878787,5147654321,DummyEntry,Revendeur
PharmaC16,Liv,Liv@yahoo.ca,8787878787,5148765432,DummyEntry,Revendeur
