2040325531,Corbeille à papier,-2091552532,10.00,1,10.00,Random2,PharmaC13,Jae@yahoo.ca,null,null,Livrée,2023-12-29 11:17:42
1687237378,Souris sans fil,-1889123134,10.00,1,10.00,Random2,PharmaC16,Liv@yahoo.ca,null,null,Livrée,2023-12-29 11:17:42
-2410144,Bloc-notes adhésifs,6262121,11.00,1,11.00,Patates7,PharmaC14,Boule@yahoo.ca,null,null,Livrée,2023-12-29 11:17:42
-1668546487,Moniteur LED 24 pouces,-656930315,13.00,4,52.00,Patates7,PharmaC15,Rich@yahoo.ca,null,null,Livrée,2023-12-29 11:17:42
-179974985,Organisateur de bureau,-377217777,11.00,2,22.00,Patates7,PharmaC16,Liv@yahoo.ca,null,null,Livrée,2023-12-29 11:17:42
-1045483527,Agrafeuse,219115113,10.00,1,10.00,Patates7,PharmaC,Joe@yahoo.ca,null,null,Commande effectuée,2023-12-29 11:17:42
306228771,Calendrier de bureau,183076120,13.00,1,13.00,Random1,PharmaC16,Liv@yahoo.ca,null,null,Livrée,2022-12-29 11:17:42
-1233964861,Cahier de notes,213082953,12.00,1,12.00,Random1,PharmaC,Joe@yahoo.ca,null,null,Livrée,2023-12-20 11:17:42
1826727087,Coussin de chaise,-31157799,11.00,1,11.00,Random1,PharmaC15,Rich@yahoo.ca,null,null,Livrée,2023-11-20 11:17:42
-1428645942,Trombones,-1291058775,10.00,1,10.00,Random1,PharmaC15,Rich@yahoo.ca,null,null,Retour en cours,2023-12-29 11:54:41
1079143924,Étiqueteuse,1084165818,11.00,1,11.00,Random1,PharmaC,Joe@yahoo.ca,null,null,Livrée,2023-12-30 16:09:39
-1767256088,Stylos à bille,736344843,12.00,1,12.00,Random1,PharmaC14,Boule@yahoo.ca,null,null,Commande effectuée,2023-12-30 16:25:37
-524016830,Calendrier de bureau,1773582704,13.00,1,13.00,Random1,PharmaC16,Liv@yahoo.ca,null,null,Commande effectuée,2023-12-30 16:33:41
1390832980,Perforateur,-392923353,13.00,1,13.00,Random1,PharmaC14,Boule@yahoo.ca,null,null,Livrée,2023-12-28 11:17:42
