Girardin,Franz,franzgirardin@gmail.com,4389234775,ProxyPaige,Pawgologist,Acheteur,0
Girardin,Franz,franzgirardin@gmail.com,4389234776,P,P,Acheteur,0
Pololo,Essai,patates@gmail.com,4389234776,patates12354678,Patates,Acheteur,0
Walter,Jack,acheteur4@gmail.com,4381234321,patates12354678,Patates4,Acheteur,0
Rick,Pierre,acheteur5@gmail.com,4389234778,patates12354678,Patates5,Acheteur,0
Eddy,Len,acheteur6@gmail.com,4389234779,patates12354678,Patates6,Acheteur,0
Nice,Sarah,acheteur7@gmail.com,4389237776,patates12354678,Patates7,Acheteur,0
Patrick,Julien,acheteur8@gmail.com,4384454776,patates12354678,Patates8,Acheteur,0
Random1,User1,random1@gmail.com,4381111111,patates12354678,Random1,Acheteur,0
Random2,User2,random2@gmail.com,4382222222,patates12354677,Random2,Acheteur,0
PharmaC,Joe,Joe@yahoo.ca,8787878787,5145145140,DummyEntry,Revendeur
PharmaC13,Jae,Jae@yahoo.ca,8787878787,5149876543,DummyEntry,Revendeur
PharmaC14,Boule,Boule@yahoo.ca,8787878787,5148901234,DummyEntry,Revendeur
PharmaC15,Rich,Rich@yahoo.ca,8787878787,5147654321,DummyEntry,Revendeur
PharmaC16,Liv,Liv@yahoo.ca,8787878786,5148765432,DummyEntry,Revendeur
